"sub_acct_id","company_id","coa_id","account_title","account_desc"
1,3,1000,"1000 . Cash in Bank","none"
1,3,1031,"1031 . C/A-EWB Salce Php48-02-01281-6","none"
1,3,1032,"1032 . C/A-EWB Salce Php48-02-00892-4","none"
1,3,1033,"1033 . C/A-EWB Salce US$48-70-00124-5","none"
1,3,1034,"1034 . C/A - BPI","none"
1,3,1035,"1035 . C/A BPI-4281000255","none"
1,3,1036,"1036 . C/A - UCPB (Php) 201900001007","none"
1,3,1037,"1037 . C/A - UCPB (Php) 201900002073","none"
1,3,1038,"1038 . C/A - Unionbank","none"
1,3,1039,"1039 . C/A-BDO Paseo Php5428004861","none"
1,3,1040,"1040 . C/A-Maybank 00-024-50-0230-4","none"
1,3,1100,"1100 . Petty Cash Fund","none"
2,3,1200,"1200 . Accounts Receivable","none"
2,3,1210,"1210 . Allowance for Doubtful Accounts","none"
3,3,12000,"12000 . Undeposited Funds","none"
3,3,1201,"1201 . Accounts Receivable - Others","none"
3,3,1202,"1202 . SSS Sickness/Maternity Receivab","none"
3,3,1203,"1203 . Advances to Officers & Emp","none"
3,3,1204,"1204 . Advances to O/E - PSO Related","none"
3,3,1205,"1205 . Advances to/from MIBTC","none"
3,3,1207,"1207 . Advances to/from MIB2","none"
3,3,1208,"1208 . Advances to/from MIB1","none"
3,3,1300,"1300 . Inventory","none"
3,3,1310,"1310 . Merchandise - Hospital Lines","none"
3,3,1320,"1320 . Office Supplies Inventory","none"
3,3,1340,"1340 . Merchandise - CCTV","none"
3,3,1400,"1400 . Prepaid Expenses","none"
3,3,1410,"1410 . Input VAT","none"
3,3,1420,"1420 . Creditable Withholding Tax","none"
3,3,1430,"1430 . Undeposited Check","none"
4,3,1510,"1510 . Transportation Equipment","none"
4,3,1511,"1511 . Transportation Equipment - Cost","none"
4,3,1515,"1515 . Accumulated Depre. - Trasportat","none"
4,3,1520,"1520 . Furniture & Fixture","none"
4,3,1521,"1521 . Furniture & Fixture - Cost","none"
4,3,1525,"1525 . Accumulated Depre. - F&F","none"
4,3,1530,"1530 . Computer Equipment & Software","none"
4,3,1531,"1531 . Computer Equipment & Software","none"
4,3,1535,"1535 . Accumulated Depre. - Comp.& Sof","none"
4,3,1540,"1540 . Leasehold Improvements","none"
4,3,1541,"1541 . Leasehold Improvements - LI","none"
4,3,1542,"1542 . A/D-Leasehold Improvement","none"
